Athlete;Age;Year;Closing Ceremony Date;Gold Medals;Silver Medals;Bronze Medals
Marcel Höhlig;22;2002;02/24/2002;0;1;0
Björn Kircheisen;18;2002;02/24/2002;0;1;0
Hannu Manninen;23;2002;02/24/2002;1;0;0
Jari Mantila;30;2002;02/24/2002;1;0;0
Mario Stecher;24;2002;02/24/2002;0;0;1
Laura Asadauskaite;28;2012;08/12/2012;1;0;0
Cao Zhongrong;30;2012;08/12/2012;0;1;0
Ádám Marosi;28;2012;08/12/2012;0;0;1
Yane Marques;28;2012;08/12/2012;0;0;1
Samantha Murray;22;2012;08/12/2012;0;1;0
David Svoboda;27;2012;08/12/2012;1;0;0
Heather Fell;25;2008;08/24/2008;0;1;0
Edvinas Krungolcas;35;2008;08/24/2008;0;1;0
Andrey Moiseyev;29;2008;08/24/2008;1;0;0
Lena Schöneborn;22;2008;08/24/2008;1;0;0
Viktoriya Tereshchuk;26;2008;08/24/2008;0;0;1
Andrejus Zadneprovskis;33;2008;08/24/2008;0;0;1
Libor Capalini;31;2004;08/29/2004;0;0;1
Georgina Harland;26;2004;08/29/2004;0;0;1
Andrey Moiseyev;25;2004;08/29/2004;1;0;0
Jelena Rublevska;28;2004;08/29/2004;0;1;0
Zsuzsa Voros;27;2004;08/29/2004;1;0;0
Andrejus Zadneprovskis;29;2004;08/29/2004;0;1;0
Kate Allenby;26;2000;10/01/2000;0;0;1
Gábor Balogh;24;2000;10/01/2000;0;1;0
Steph Cook;28;2000;10/01/2000;1;0;0
Emily deRiel;25;2000;10/01/2000;0;1;0
Pavel Dovgal;24;2000;10/01/2000;0;0;1
Dmitry Svatkovsky;28;2000;10/01/2000;1;0;0
Natalie Geisenberger;22;2010;02/28/2010;0;0;1
Tatjana Hüfner;26;2010;02/28/2010;1;0;0
Patric Leitner;32;2010;02/28/2010;0;0;1
Andreas Linger;28;2010;02/28/2010;1;0;0
Wolfgang Linger;27;2010;02/28/2010;1;0;0
Felix Loch;20;2010;02/28/2010;1;0;0
David Möller;28;2010;02/28/2010;0;1;0
Nina Reithmayer;25;2010;02/28/2010;0;1;0
Alexander Resch;30;2010;02/28/2010;0;0;1
Andris Šics;24;2010;02/28/2010;0;1;0
Juris Šics;26;2010;02/28/2010;0;1;0
Armin Zöggeler;36;2010;02/28/2010;0;0;1
Albert Demchenko;34;2006;02/26/2006;0;1;0
André Florschütz;29;2006;02/26/2006;0;1;0
Oswald Haselrieder;34;2006;02/26/2006;0;0;1
Tatjana Hüfner;22;2006;02/26/2006;0;0;1
Silke Kraushaar;35;2006;02/26/2006;0;1;0
Andreas Linger;24;2006;02/26/2006;1;0;0
Wolfgang Linger;23;2006;02/26/2006;1;0;0
Sylke Otto;36;2006;02/26/2006;1;0;0
Gerhard Plankensteiner;34;2006;02/26/2006;0;0;1
Martinš Rubenis;27;2006;02/26/2006;0;0;1
Torsten Wustlich;29;2006;02/26/2006;0;1;0
Armin Zöggeler;32;2006;02/26/2006;1;0;0
Mark Grimmette;31;2002;02/24/2002;0;1;0
Georg Hackl;35;2002;02/24/2002;0;1;0
Clay Ives;29;2002;02/24/2002;0;0;1
Silke Kraushaar;31;2002;02/24/2002;0;0;1
Patric Leitner;24;2002;02/24/2002;1;0;0
Brian Martin;28;2002;02/24/2002;0;1;0
Barbara Niedernhuber;27;2002;02/24/2002;0;1;0
Sylke Otto;32;2002;02/24/2002;1;0;0
Markus Prock;37;2002;02/24/2002;0;0;1
Alexander Resch;22;2002;02/24/2002;1;0;0
Chris Thorpe;31;2002;02/24/2002;0;0;1
Armin Zöggeler;28;2002;02/24/2002;1;0;0
Yuri Alvear;26;2012;08/12/2012;0;0;1
An Kum-Ae;32;2012;08/12/2012;1;0;0
Yanet Bermoy;25;2012;08/12/2012;0;1;0
Ole Bischof;32;2012;08/12/2012;0;1;0
Edith Bosch;32;2012;08/12/2012;0;0;1
Karina Bryant;33;2012;08/12/2012;0;0;1
Corina Caprioriu;26;2012;08/12/2012;0;1;0
Éva Csernoviczki;25;2012;08/12/2012;0;0;1
Rafael da Silva;25;2012;08/12/2012;0;0;1
Lucie Décosse;30;2012;08/12/2012;1;0;0
Alina Dumitru;29;2012;08/12/2012;0;1;0
Masashi Ebinuma;22;2012;08/12/2012;0;0;1
Gevrise Emane;30;2012;08/12/2012;0;0;1
Rosalba Forciniti;26;2012;08/12/2012;0;0;1
Arsen Galstyan;23;2012;08/12/2012;1;0;0
Gemma Gibbons;25;2012;08/12/2012;0;1;0
Priscilla Gneto;20;2012;08/12/2012;0;0;1
Asley González;22;2012;08/12/2012;0;1;0
Henk Grol;27;2012;08/12/2012;0;0;1
Kayla Harrison;22;2012;08/12/2012;1;0;0
Hiroaki Hiraoka;27;2012;08/12/2012;0;1;0
Ilias Iliadis;25;2012;08/12/2012;0;0;1
Mansur Isayev;25;2012;08/12/2012;1;0;0
Jo Jun-Ho;23;2012;08/12/2012;0;0;1
Tagir Khaybulayev;28;2012;08/12/2012;1;0;0
Kim Jae-Beom;27;2012;08/12/2012;1;0;0
Felipe Kitadai;23;2012;08/12/2012;0;0;1
Ugo Legrand;23;2012;08/12/2012;0;0;1
Marti Malloy;26;2012;08/12/2012;0;0;1
Kaori Matsumoto;24;2012;08/12/2012;1;0;0
Sarah Menezes;22;2012;08/12/2012;1;0;0
Aleksandr Mikhaylin;32;2012;08/12/2012;0;1;0
Naidangiin Tüvshinbayar;28;2012;08/12/2012;0;1;0
Riki Nakaya;23;2012;08/12/2012;0;1;0
Ivan Nifontov;25;2012;08/12/2012;0;0;1
Masashi Nishiyama;27;2012;08/12/2012;0;0;1
Idalys Ortíz;22;2012;08/12/2012;1;0;0
Automne Pavia;23;2012;08/12/2012;0;0;1
Dimitri Peters;28;2012;08/12/2012;0;0;1
Teddy Riner;23;2012;08/12/2012;1;0;0
Saynjargalyn Nyam-Ochir;26;2012;08/12/2012;0;0;1
Lasha Shavdatuashvili;20;2012;08/12/2012;1;0;0
Mayra Silva;20;2012;08/12/2012;0;0;1
Rishod Sobirov;25;2012;08/12/2012;0;0;1
Song Dae-Nam;33;2012;08/12/2012;1;0;0
Mika Sugimoto;27;2012;08/12/2012;0;1;0
Audrey Tcheumeo;22;2012;08/12/2012;0;0;1
Kerstin Thiele;25;2012;08/12/2012;0;1;0
Andreas Tölzer;32;2012;08/12/2012;0;0;1
Tong Wen;29;2012;08/12/2012;0;0;1
Yoshie Ueno;29;2012;08/12/2012;0;0;1
Miklós Ungvári;31;2012;08/12/2012;0;1;0
Antoine Valois-Fortier;22;2012;08/12/2012;0;0;1
Charline Van Snick;21;2012;08/12/2012;0;0;1
Xu Lili;24;2012;08/12/2012;0;1;0
Urška Žolnir;30;2012;08/12/2012;1;0;0
An Kum-Ae;28;2008;08/24/2008;0;1;0
Yordanis Arencibia;28;2008;08/24/2008;0;0;1
Sergei Aschwanden;32;2008;08/24/2008;0;0;1
Amar Benikhlef;26;2008;08/24/2008;0;1;0
Yanet Bermoy;21;2008;08/24/2008;0;1;0
Ole Bischof;28;2008;08/24/2008;1;0;0
Rasul Bokiyev;25;2008;08/24/2008;0;0;1
Edith Bosch;28;2008;08/24/2008;0;0;1
Oscar Braison;23;2008;08/24/2008;0;0;1
Tiago Camilo;26;2008;08/24/2008;0;0;1
Yalennis Castillo;22;2008;08/24/2008;0;1;0
Choi Min-Ho;27;2008;08/24/2008;1;0;0
Benjamin Darbelet;27;2008;08/24/2008;0;1;0
Lucie Décosse;27;2008;08/24/2008;0;1;0
Alina Dumitru;25;2008;08/24/2008;1;0;0
Deborah Gravenstijn;33;2008;08/24/2008;0;1;0
Henk Grol;23;2008;08/24/2008;0;0;1
Leandro Guilheiro;25;2008;08/24/2008;0;0;1
Soraya Haddad;23;2008;08/24/2008;0;0;1
Anaisis Hernández;26;2008;08/24/2008;0;1;0
Roman Hontiuk;24;2008;08/24/2008;0;0;1
Ruben Houkes;29;2008;08/24/2008;0;0;1
Satoshi Ishii;21;2008;08/24/2008;1;0;0
Jeong Gyeong-Mi;23;2008;08/24/2008;0;0;1
Kim Jae-Beom;23;2008;08/24/2008;0;1;0
Mövlud Mir?liyev;34;2008;08/24/2008;0;0;1
Hesham Misbah;26;2008;08/24/2008;0;0;1
Elnur M?mm?dli;20;2008;08/24/2008;1;0;0
Naidangiin Tüvshinbayar;24;2008;08/24/2008;1;0;0
Misato Nakamura;19;2008;08/24/2008;0;0;1
Idalys Ortíz;18;2008;08/24/2008;0;0;1
Ludwig Paischer;26;2008;08/24/2008;0;1;0
Pak Chol-Min;25;2008;08/24/2008;0;0;1
Paula Pareto;22;2008;08/24/2008;0;0;1
Lucija Polavder;23;2008;08/24/2008;0;0;1
Stéphanie Possamai;28;2008;08/24/2008;0;0;1
Ketleyn Quadros;20;2008;08/24/2008;0;0;1
Giulia Quintavalle;25;2008;08/24/2008;1;0;0
Teddy Riner;19;2008;08/24/2008;0;0;1
Ronda Rousey;21;2008;08/24/2008;0;0;1
Rishod Sobirov;21;2008;08/24/2008;0;0;1
Ryoko Tamura-Tani;32;2008;08/24/2008;0;0;1
Abdullo Tangriyev;27;2008;08/24/2008;0;1;0
Ayumi Tanimoto;27;2008;08/24/2008;1;0;0
Tong Wen;25;2008;08/24/2008;1;0;0
Irakli Tsirekidze;26;2008;08/24/2008;1;0;0
Maki Tsukada;26;2008;08/24/2008;0;1;0
Masato Uchishiba;30;2008;08/24/2008;1;0;0
Masae Ueno;29;2008;08/24/2008;1;0;0
Wang Gi-Chun;19;2008;08/24/2008;0;1;0
Elisabeth Willeboordse;29;2008;08/24/2008;0;0;1
Won Ok-Im;21;2008;08/24/2008;0;0;1
Xian Dongmei;32;2008;08/24/2008;1;0;0
Xu Yan;26;2008;08/24/2008;0;0;1
Yang Xiuli;24;2008;08/24/2008;1;0;0
Askhat Zhitkeyev;27;2008;08/24/2008;0;1;0
Noriko Anno;28;2004;08/29/2004;1;0;0
Yordanis Arencibia;24;2004;08/29/2004;0;0;1
Daima Beltrán;31;2004;08/29/2004;0;1;0
Annett Böhm;24;2004;08/29/2004;0;0;1
Yvonne Bönisch;23;2004;08/29/2004;1;0;0
Edith Bosch;24;2004;08/29/2004;0;1;0
Flávio Canto;29;2004;08/29/2004;0;0;1
Choi Min-Ho;23;2004;08/29/2004;0;0;1
Tea Donguzashvili;28;2004;08/29/2004;0;0;1
Gao Feng;22;2004;08/29/2004;0;0;1
Georgi Georgiev;28;2004;08/29/2004;0;0;1
Driulys González;30;2004;08/29/2004;0;0;1
Deborah Gravenstijn;29;2004;08/29/2004;0;0;1
Leandro Guilheiro;21;2004;08/29/2004;0;0;1
Claudia Heill;22;2004;08/29/2004;0;1;0
Ilse Heylen;27;2004;08/29/2004;0;0;1
Roman Hontiuk;20;2004;08/29/2004;0;1;0
Mark Huizinga;30;2004;08/29/2004;0;0;1
Ilias Iliadis;17;2004;08/29/2004;1;0;0
Hiroshi Izumi;22;2004;08/29/2004;0;1;0
Jang Seong-Ho;26;2004;08/29/2004;0;1;0
Frédérique Jossinet;28;2004;08/29/2004;0;1;0
Michael Jurack;25;2004;08/29/2004;0;0;1
Khashbaataryn Tsagaanbaatar;20;2004;08/29/2004;0;0;1
Nest'or Khergiani;29;2004;08/29/2004;0;1;0
Jozef Krnác;26;2004;08/29/2004;0;1;0
Kye Sun-Hui;25;2004;08/29/2004;0;1;0
Yurisel Laborde;25;2004;08/29/2004;0;0;1
Lee Won-Hui;23;2004;08/29/2004;1;0;0
Liu Xia;25;2004;08/29/2004;0;1;0
Yurisleidy Lupetey;23;2004;08/29/2004;0;0;1
Igor Makarov;25;2004;08/29/2004;1;0;0
Vitaly Makarov;30;2004;08/29/2004;0;1;0
Julia Matijass;30;2004;08/29/2004;0;0;1
Lucia Morico;28;2004;08/29/2004;0;0;1
Tadahiro Nomura;29;2004;08/29/2004;1;0;0
Dmitry Nosov;24;2004;08/29/2004;0;0;1
Jimmy Pedro;33;2004;08/29/2004;0;0;1
Indrek Pertelson;33;2004;08/29/2004;0;0;1
Qin Dongya;24;2004;08/29/2004;0;0;1
Amarilys Savón;30;2004;08/29/2004;0;0;1
Sun Fuming;30;2004;08/29/2004;0;0;1
Keiji Suzuki;24;2004;08/29/2004;1;0;0
Ryoko Tamura-Tani;28;2004;08/29/2004;1;0;0
Ayumi Tanimoto;23;2004;08/29/2004;1;0;0
Khasanbi Taov;26;2004;08/29/2004;0;0;1
Tamerlan Tmenov;27;2004;08/29/2004;0;1;0
Maki Tsukada;22;2004;08/29/2004;1;0;0
Masato Uchishiba;26;2004;08/29/2004;1;0;0
Masae Ueno;25;2004;08/29/2004;1;0;0
Dennis van der Geest;29;2004;08/29/2004;0;0;1
Xian Dongmei;28;2004;08/29/2004;1;0;0
Yuki Yokosawa;23;2004;08/29/2004;0;1;0
Arik Ze'evi;27;2004;08/29/2004;0;0;1
Urška Žolnir;22;2004;08/29/2004;0;0;1
Zurab Zviadauri;23;2004;08/29/2004;1;0;0
Daima Beltrán;28;2000;10/01/2000;0;1;0
Larbi Ben Boudaoud;26;2000;10/01/2000;0;1;0
Lyubov Bruletova;26;2000;10/01/2000;0;1;0
Aleksei Budõlin;24;2000;10/01/2000;0;0;1
Tiago Camilo;18;2000;10/01/2000;0;1;0
Nuno Delgado;24;2000;10/01/2000;0;0;1
Frédéric Demontfaucon;26;2000;10/01/2000;0;0;1
David Douillet;31;2000;10/01/2000;1;0;0
Isabel Fernández;28;2000;10/01/2000;1;0;0
Nicolas Gill;28;2000;10/01/2000;0;1;0
Girolamo Giovinazzo;32;2000;10/01/2000;0;0;1
Driulys González;26;2000;10/01/2000;0;1;0
Anna-Maria Gradante;23;2000;10/01/2000;0;0;1
Carlos Honorato;25;2000;10/01/2000;0;1;0
Kate Howey;27;2000;10/01/2000;0;1;0
Mark Huizinga;27;2000;10/01/2000;1;0;0
Kosei Inoue;22;2000;10/01/2000;1;0;0
Jeong Seok-Gyeong;22;2000;10/01/2000;0;1;0
Jeong Seong-Suk;28;2000;10/01/2000;0;0;1
Jo In-Cheol;24;2000;10/01/2000;0;1;0
Jo Min-Seon;28;2000;10/01/2000;0;0;1
Kim Seon-Yeong;21;2000;10/01/2000;0;0;1
Kie Kusakabe;21;2000;10/01/2000;0;0;1
Kye Sun-Hui;21;2000;10/01/2000;0;0;1
Anatoly Laryukov;29;2000;10/01/2000;0;0;1
Céline Lebrun;24;2000;10/01/2000;0;1;0
Li Shufang;21;2000;10/01/2000;0;1;0
Liu Yuxiang;24;2000;10/01/2000;0;0;1
Giuseppe Maddaloni;24;2000;10/01/2000;1;0;0
Ruslan Mashurenko;29;2000;10/01/2000;0;0;1
Tadahiro Nomura;25;2000;10/01/2000;1;0;0
Hüseyin Özkan;28;2000;10/01/2000;1;0;0
Mária Pekli;28;2000;10/01/2000;0;0;1
Indrek Pertelson;29;2000;10/01/2000;0;0;1
Emanuela Pierantozzi;32;2000;10/01/2000;0;0;1
Manolo Poulot;26;2000;10/01/2000;0;0;1
Simona Richter;28;2000;10/01/2000;0;0;1
Ylenia Scapin;25;2000;10/01/2000;0;0;1
Shinichi Shinohara;27;2000;10/01/2000;0;1;0
Ann Simons;20;2000;10/01/2000;0;0;1
Aydyn Smagulov;23;2000;10/01/2000;0;0;1
Yury Styopkin;28;2000;10/01/2000;0;0;1
Noriko Sugawara-Narazaki;27;2000;10/01/2000;0;1;0
Makoto Takimoto;25;2000;10/01/2000;1;0;0
Ryoko Tamura-Tani;25;2000;10/01/2000;1;0;0
Tang Lin;24;2000;10/01/2000;1;0;0
Tamerlan Tmenov;23;2000;10/01/2000;0;0;1
Stéphane Traineau;34;2000;10/01/2000;0;0;1
Gella Vandecaveye;27;2000;10/01/2000;0;0;1
Séverine Vandenhende;26;2000;10/01/2000;1;0;0
Georgios Vazagkasvili;26;2000;10/01/2000;0;0;1
Sibelis Veranes;26;2000;10/01/2000;1;0;0
Legna Verdecia;27;2000;10/01/2000;1;0;0
Mayumi Yamashita;24;2000;10/01/2000;0;0;1
Yuan Hua;26;2000;10/01/2000;1;0;0
Vsevolods Zelonijs;27;2000;10/01/2000;0;0;1
Meghan Agosta;23;2010;02/28/2010;1;0;0
Gillian Apps;26;2010;02/28/2010;1;0;0
David Backes;25;2010;02/28/2010;0;1;0
Niklas Bäckström;32;2010;02/28/2010;0;0;1
Kacey Bellamy;22;2010;02/28/2010;0;1;0
Patrice Bergeron-Cleary;24;2010;02/28/2010;1;0;0
Tessa Bonhomme;24;2010;02/28/2010;1;0;0
Jennifer Botterill;30;2010;02/28/2010;1;0;0
Dan Boyle;33;2010;02/28/2010;1;0;0
Martin Brodeur;37;2010;02/28/2010;1;0;0
Dustin Brown;25;2010;02/28/2010;0;1;0
Caitlin Cahow;24;2010;02/28/2010;0;1;0
Ryan Callahan;24;2010;02/28/2010;0;1;0
Lisa Chesson;23;2010;02/28/2010;0;1;0
Julie Chu;27;2010;02/28/2010;0;1;0
Sidney Crosby;22;2010;02/28/2010;1;0;0
Natalie Darwitz;26;2010;02/28/2010;0;1;0
Drew Doughty;20;2010;02/28/2010;1;0;0
Chris Drury;33;2010;02/28/2010;0;1;0
Meghan Duggan;22;2010;02/28/2010;0;1;0
Molly Engstrom;26;2010;02/28/2010;0;1;0
Valtteri Filppula;25;2010;02/28/2010;0;0;1
Ryan Getzlaf;24;2010;02/28/2010;1;0;0
Tim Gleason;27;2010;02/28/2010;0;1;0
Niklas Hagman;30;2010;02/28/2010;0;0;1
Dany Heatley;29;2010;02/28/2010;1;0;0
Jayna Hefford;32;2010;02/28/2010;1;0;0
Anne Helin;23;2010;02/28/2010;0;0;1
Jenni Hiirikoski;22;2010;02/28/2010;0;0;1
Venla Hovi;22;2010;02/28/2010;0;0;1
Jarome Iginla;32;2010;02/28/2010;1;0;0
Jarkko Immonen;27;2010;02/28/2010;0;0;1
Haley Irwin;21;2010;02/28/2010;1;0;0
Erik Johnson;21;2010;02/28/2010;0;1;0
Jack Johnson;23;2010;02/28/2010;0;1;0
Rebecca Johnston;20;2010;02/28/2010;1;0;0
Olli Jokinen;31;2010;02/28/2010;0;0;1
Patrick Kane;21;2010;02/28/2010;0;1;0
Niko Kapanen;31;2010;02/28/2010;0;0;1
Michelle Karvinen;19;2010;02/28/2010;0;0;1
Duncan Keith;26;2010;02/28/2010;1;0;0
Becky Kellar;35;2010;02/28/2010;1;0;0
Ryan Kesler;25;2010;02/28/2010;0;1;0
Phil Kessel;22;2010;02/28/2010;0;1;0
Gina Kingsbury;28;2010;02/28/2010;1;0;0
Miikka Kiprusoff;33;2010;02/28/2010;0;0;1
Hilary Knight;20;2010;02/28/2010;0;1;0
Mikko Koivu;26;2010;02/28/2010;0;0;1
Saku Koivu;35;2010;02/28/2010;0;0;1
Lasse Kukkonen;28;2010;02/28/2010;0;0;1
Emma Laaksonen;28;2010;02/28/2010;0;0;1
Charlie Labonté;27;2010;02/28/2010;1;0;0
Jocelyne Lamoureux;20;2010;02/28/2010;0;1;0
Monique Lamoureux;20;2010;02/28/2010;0;1;0
Jamie Langenbrunner;34;2010;02/28/2010;0;1;0
Erika Lawler;23;2010;02/28/2010;0;1;0
Jere Lehtinen;36;2010;02/28/2010;0;0;1
Sami Lepistö;25;2010;02/28/2010;0;0;1
Rosa Lindstedt;22;2010;02/28/2010;0;0;1
Roberto Luongo;30;2010;02/28/2010;1;0;0
Toni Lydman;32;2010;02/28/2010;0;0;1
Carla MacLeod;27;2010;02/28/2010;1;0;0
Ryan Malone;30;2010;02/28/2010;0;1;0
Patrick Marleau;30;2010;02/28/2010;1;0;0
Gigi Marvin;22;2010;02/28/2010;0;1;0
Brianne McLaughlin;22;2010;02/28/2010;0;1;0
Terhi Mertanen;28;2010;02/28/2010;0;0;1
Antti Miettinen;29;2010;02/28/2010;0;0;1
Meaghan Mikkelson;25;2010;02/28/2010;1;0;0
Ryan Miller;29;2010;02/28/2010;0;1;0
Brenden Morrow;31;2010;02/28/2010;1;0;0
Rick Nash;25;2010;02/28/2010;1;0;0
Scott Niedermayer;36;2010;02/28/2010;1;0;0
Janne Niskala;28;2010;02/28/2010;0;0;1
Brooks Orpik;29;2010;02/28/2010;0;1;0
Caroline Ouellette;30;2010;02/28/2010;1;0;0
Zach Parise;25;2010;02/28/2010;0;1;0
Joe Pavelski;25;2010;02/28/2010;0;1;0
Ville Peltonen;36;2010;02/28/2010;0;0;1
Heidi Pelttari;24;2010;02/28/2010;0;0;1
Corey Perry;24;2010;02/28/2010;1;0;0
Cherie Piper;28;2010;02/28/2010;1;0;0
Joni Pitkänen;26;2010;02/28/2010;0;0;1
Mariia Posa;21;2010;02/28/2010;0;0;1
Marie-Philip Poulin;18;2010;02/28/2010;1;0;0
Chris Pronger;35;2010;02/28/2010;1;0;0
Brian Rafalski;36;2010;02/28/2010;0;1;0
Annina Rajahuhta;20;2010;02/28/2010;0;0;1
Karoliina Rantamäki;31;2010;02/28/2010;0;0;1
Noora Räty;20;2010;02/28/2010;0;0;1
Mike Richards;25;2010;02/28/2010;1;0;0
Angela Ruggiero;30;2010;02/28/2010;0;1;0
Jarkko Ruutu;34;2010;02/28/2010;0;0;1
Tuomo Ruutu;27;2010;02/28/2010;0;0;1
Bobby Ryan;22;2010;02/28/2010;0;1;0
Mari Saarinen;28;2010;02/28/2010;0;0;1
Sami Salo;35;2010;02/28/2010;0;0;1
Molly Schaus;21;2010;02/28/2010;0;1;0
Jenny Schmidgall-Potter;31;2010;02/28/2010;0;1;0
Brent Seabrook;24;2010;02/28/2010;1;0;0
Teemu Selänne;39;2010;02/28/2010;0;0;1
Saija Sirviö;27;2010;02/28/2010;0;0;1
Colleen Sostorics;30;2010;02/28/2010;1;0;0
Kim St-Pierre;31;2010;02/28/2010;1;0;0
Eric Staal;25;2010;02/28/2010;1;0;0
Kelli Stack;22;2010;02/28/2010;0;1;0
Paul Stastny;24;2010;02/28/2010;0;1;0
Ryan Suter;25;2010;02/28/2010;0;1;0
Shannon Szabados;23;2010;02/28/2010;1;0;0
Karen Thatcher;25;2010;02/28/2010;0;1;0
Tim Thomas;35;2010;02/28/2010;0;1;0
Joe Thornton;30;2010;02/28/2010;1;0;0
Nina Tikkinen;23;2010;02/28/2010;0;0;1
Kimmo Timonen;34;2010;02/28/2010;0;0;1
Jonathan Toews;21;2010;02/28/2010;1;0;0
Minnamari Tuominen;19;2010;02/28/2010;0;0;1
Saara Tuominen;24;2010;02/28/2010;0;0;1
Sarah Vaillancourt;24;2010;02/28/2010;1;0;0
Linda Välimäki;19;2010;02/28/2010;0;0;1
Jessie Vetter;24;2010;02/28/2010;0;1;0
Marjo Voutilainen;28;2010;02/28/2010;0;0;1
Catherine Ward;22;2010;02/28/2010;1;0;0
Shea Weber;24;2010;02/28/2010;1;0;0
Kerry Weiland;29;2010;02/28/2010;0;1;0
Ryan Whitney;26;2010;02/28/2010;0;1;0
Hayley Wickenheiser;31;2010;02/28/2010;1;0;0
Jinelle Zaugg-Siergiej;23;2010;02/28/2010;0;1;0
Meghan Agosta;18;2006;02/26/2006;1;0;0
Daniel Alfredsson;33;2006;02/26/2006;1;0;0
Cecilia Andersson;23;2006;02/26/2006;0;1;0
Gunilla Andersson;30;2006;02/26/2006;0;1;0
Gillian Apps;22;2006;02/26/2006;1;0;0
Jenni Asserholt;17;2006;02/26/2006;0;1;0
Per-Johan Axelsson;30;2006;02/26/2006;1;0;0
Christian Bäckman;25;2006;02/26/2006;1;0;0
Aki Berg;28;2006;02/26/2006;0;1;0
Jennifer Botterill;26;2006;02/26/2006;1;0;0
Jan Bulis;27;2006;02/26/2006;0;0;1
Caitlin Cahow;20;2006;02/26/2006;0;0;1
Petr Cajánek;30;2006;02/26/2006;0;0;1
Cassie Campbell;32;2006;02/26/2006;1;0;0
Julie Chu;23;2006;02/26/2006;0;0;1
Natalie Darwitz;22;2006;02/26/2006;0;0;1
Pam Dreyer;24;2006;02/26/2006;0;0;1
Tricia Dunn-Luoma;31;2006;02/26/2006;0;0;1
Ann-Louise Edstrand;30;2006;02/26/2006;0;1;0
Joa Elfsberg;26;2006;02/26/2006;0;1;0
Patrik Eliáš;29;2006;02/26/2006;0;0;1
Emma Eliasson;16;2006;02/26/2006;0;1;0
Molly Engstrom;22;2006;02/26/2006;0;0;1
Martin Erat;24;2006;02/26/2006;0;0;1
Gillian Ferrari;25;2006;02/26/2006;1;0;0
Peter Forsberg;32;2006;02/26/2006;1;0;0
Danielle Goyette;40;2006;02/26/2006;1;0;0
Chanda Gunn;26;2006;02/26/2006;0;0;1
Jamie Hagerman;24;2006;02/26/2006;0;0;1
Niklas Hagman;26;2006;02/26/2006;0;1;0
Mika Hannula;26;2006;02/26/2006;1;0;0
Dominik Hašek;41;2006;02/26/2006;0;0;1
Niclas Hävelid;32;2006;02/26/2006;1;0;0
Jayna Hefford;28;2006;02/26/2006;1;0;0
Milan Hejduk;30;2006;02/26/2006;0;0;1
Aleš Hemský;22;2006;02/26/2006;0;0;1
Jukka Hentunen;31;2006;02/26/2006;0;1;0
Milan Hnilicka;32;2006;02/26/2006;0;0;1
Tomas Holmström;33;2006;02/26/2006;1;0;0
Erika Holst;26;2006;02/26/2006;0;1;0
Kim Insalaco;25;2006;02/26/2006;0;0;1
Jaromír Jágr;34;2006;02/26/2006;0;0;1
Nanna Jansson;22;2006;02/26/2006;0;1;0
Jussi Jokinen;22;2006;02/26/2006;0;1;0
Olli Jokinen;27;2006;02/26/2006;0;1;0
Jörgen Jönsson;33;2006;02/26/2006;1;0;0
Kenny Jönsson;31;2006;02/26/2006;1;0;0
František Kaberle;32;2006;02/26/2006;0;0;1
Tomáš Kaberle;27;2006;02/26/2006;0;0;1
Niko Kapanen;27;2006;02/26/2006;0;1;0
Kathleen Kauth;26;2006;02/26/2006;0;0;1
Becky Kellar;31;2006;02/26/2006;1;0;0
Courtney Kennedy;26;2006;02/26/2006;0;0;1
Katie King;30;2006;02/26/2006;0;0;1
Kristin King;26;2006;02/26/2006;0;0;1
Gina Kingsbury;24;2006;02/26/2006;1;0;0
Mikko Koivu;22;2006;02/26/2006;0;1;0
Saku Koivu;31;2006;02/26/2006;0;1;0
Aleš Kotalík;27;2006;02/26/2006;0;0;1
Niklas Kronwall;25;2006;02/26/2006;1;0;0
Filip Kuba;29;2006;02/26/2006;0;0;1
Pavel Kubina;28;2006;02/26/2006;0;0;1
Lasse Kukkonen;24;2006;02/26/2006;0;1;0
Antti Laaksonen;32;2006;02/26/2006;0;1;0
Charlie Labonté;23;2006;02/26/2006;1;0;0
Robert Lang;35;2006;02/26/2006;0;0;1
Jere Lehtinen;32;2006;02/26/2006;0;1;0
Nicklas Lidström;35;2006;02/26/2006;1;0;0
Ylva Lindberg;29;2006;02/26/2006;0;1;0
Jenny Lindqvist;27;2006;02/26/2006;0;1;0
Stefan Liv;25;2006;02/26/2006;1;0;0
Kristina Lundberg;20;2006;02/26/2006;0;1;0
Henrik Lundqvist;23;2006;02/26/2006;1;0;0
Toni Lydman;28;2006;02/26/2006;0;1;0
Carla MacLeod;23;2006;02/26/2006;1;0;0
Marek Malík;30;2006;02/26/2006;0;0;1
Kim Martin;19;2006;02/26/2006;0;1;0
Fredrik Modin;31;2006;02/26/2006;1;0;0
Frida Nevalainen;19;2006;02/26/2006;0;1;0
Antti-Jussi Niemi;28;2006;02/26/2006;0;1;0
Ville Nieminen;28;2006;02/26/2006;0;1;0
Antero Niittymäki;25;2006;02/26/2006;0;1;0
Fredrik Norrena;32;2006;02/26/2006;0;1;0
Petteri Nummelin;33;2006;02/26/2006;0;1;0
Teppo Numminen;37;2006;02/26/2006;0;1;0
Emilie O'Konor;22;2006;02/26/2006;0;1;0
Mattias Öhlund;29;2006;02/26/2006;1;0;0
Rostislav Olesz;20;2006;02/26/2006;0;0;1
