Athlete;Age;Year;Closing Ceremony Date;Gold Medals;Silver Medals;Bronze Medals
Michel Ansermet;35;2000;10/01/2000;0;1;0
Cai Yalin;23;2000;10/01/2000;1;0;0
Rajmond Debevec;37;2000;10/01/2000;1;0;0
Michael Diamond;28;2000;10/01/2000;1;0;0
Franck Dumoulin;28;2000;10/01/2000;1;0;0
Svetlana Dyomina;39;2000;10/01/2000;0;1;0
Jonas Edman;33;2000;10/01/2000;1;0;0
Richard Faulds;23;2000;10/01/2000;1;0;0
Mariya Feklistova;24;2000;10/01/2000;0;0;1
Annemarie Forder;22;2000;10/01/2000;0;0;1
Gang Cho-Hyeon;17;2000;10/01/2000;0;1;0
Gao E;37;2000;10/01/2000;0;0;1
Gao Jing;24;2000;10/01/2000;0;0;1
Deborah Gelisio;24;2000;10/01/2000;0;1;0
Tatyana Goldobina;24;2000;10/01/2000;0;1;0
Todd Graves;37;2000;10/01/2000;0;0;1
Torben Grimmel;24;2000;10/01/2000;0;1;0
Mariya Grozdeva;28;2000;10/01/2000;1;0;0
Daina Gudzineviciute;34;2000;10/01/2000;1;0;0
Pia Hansen;34;2000;10/01/2000;1;0;0
Juha Hirvi;40;2000;10/01/2000;0;1;0
Diána Igaly;35;2000;10/01/2000;0;0;1
Artyom Khadzhibekov;30;2000;10/01/2000;0;1;0
Tanyu Kiryakov;37;2000;10/01/2000;1;0;0
Petr Málek;38;2000;10/01/2000;0;1;0
Russell Mark;36;2000;10/01/2000;0;1;0
Sergey Martynov;32;2000;10/01/2000;0;0;1
Renata Mauer-Rózanska;31;2000;10/01/2000;1;0;0
Zemfira Meft?kh?tddinova;37;2000;10/01/2000;1;0;0
Mykola Milchev;32;2000;10/01/2000;1;0;0
Lalita Milshina-Yauhleuskaya;36;2000;10/01/2000;0;0;1
Oleg Moldovan;33;2000;10/01/2000;0;1;0
Nancy Napolski-Johnson;26;2000;10/01/2000;1;0;0
Niu Zhiyuan;26;2000;10/01/2000;0;0;1
Ian Peel;42;2000;10/01/2000;0;1;0
Giovanni Pellielo;30;2000;10/01/2000;0;0;1
Delphine Racinet-Reau;26;2000;10/01/2000;0;1;0
Iulian Raicea;27;2000;10/01/2000;0;0;1
Kim Rhode;21;2000;10/01/2000;0;0;1
Jasna Šekaric;34;2000;10/01/2000;0;1;0
Harald Stenvaag;47;2000;10/01/2000;0;0;1
Martin Tenk;28;2000;10/01/2000;0;0;1
Wang Yifu;39;2000;10/01/2000;0;1;0
Yang Ling;28;2000;10/01/2000;1;0;0
Ben Ainslie;35;2012;08/12/2012;1;0;0
Marina Alabau;26;2012;08/12/2012;1;0;0
Jo Aleh;26;2012;08/12/2012;1;0;0
Mathew Belcher;29;2012;08/12/2012;1;0;0
Lobke Berkhout;31;2012;08/12/2012;0;0;1
Stuart Bithell;25;2012;08/12/2012;0;1;0
Marit Bouwmeester;24;2012;08/12/2012;0;1;0
Peter Burling;21;2012;08/12/2012;0;1;0
Lucas Calabrese;25;2012;08/12/2012;0;0;1
Saskia Clark;32;2012;08/12/2012;0;1;0
Nina Curtis;24;2012;08/12/2012;0;1;0
Juan de la Fuente;35;2012;08/12/2012;0;0;1
Nick Dempsey;31;2012;08/12/2012;0;1;0
Támara Echegoyen;28;2012;08/12/2012;1;0;0
Jonas Høgh Christensen;31;2012;08/12/2012;0;1;0
Iain Jensen;24;2012;08/12/2012;1;0;0
Silja Kanerva;27;2012;08/12/2012;0;0;1
Pavlos Kontides;22;2012;08/12/2012;0;1;0
Peter Lang;23;2012;08/12/2012;0;0;1
Silja Lehtinen;26;2012;08/12/2012;0;0;1
Jonathan Lobert;27;2012;08/12/2012;0;0;1
Fredrik Lööf;42;2012;08/12/2012;1;0;0
Przemyslaw Miarczynski;32;2012;08/12/2012;0;0;1
Hannah Mills;24;2012;08/12/2012;0;1;0
Rasmus Myrgren;33;2012;08/12/2012;0;0;1
Zofia Noceti-Klepacka;26;2012;08/12/2012;0;0;1
Allan Nørregaard;31;2012;08/12/2012;0;0;1
Nathan Outteridge;26;2012;08/12/2012;1;0;0
Malcolm Page;40;2012;08/12/2012;1;0;0
Luke Patience;25;2012;08/12/2012;0;1;0
Iain Percy;36;2012;08/12/2012;0;1;0
Tuuli Petäjä;28;2012;08/12/2012;0;1;0
Olivia Powrie;24;2012;08/12/2012;1;0;0
Bruno Prada;40;2012;08/12/2012;0;0;1
Olivia Price;19;2012;08/12/2012;0;1;0
Angela Pumariega;27;2012;08/12/2012;1;0;0
Max Salminen;23;2012;08/12/2012;1;0;0
Robert Scheidt;39;2012;08/12/2012;0;0;1
Andrew Simpson;35;2012;08/12/2012;0;1;0
Tom Slingsby;27;2012;08/12/2012;1;0;0
Sofia Toro;21;2012;08/12/2012;1;0;0
Blair Tuke;23;2012;08/12/2012;0;1;0
Evi Van Acker;26;2012;08/12/2012;0;0;1
Dorian van Rijsselberge;23;2012;08/12/2012;1;0;0
Lisa Westerhof;30;2012;08/12/2012;0;0;1
Lucinda Whitty;22;2012;08/12/2012;0;1;0
Mikaela Wulff;22;2012;08/12/2012;0;0;1
Xu Lijia;24;2012;08/12/2012;1;0;0
Ben Ainslie;31;2008;08/24/2008;1;0;0
Glenn Ashby;30;2008;08/24/2008;0;1;0
Tom Ashley;24;2008;08/24/2008;1;0;0
Sarah Ayton;28;2008;08/24/2008;1;0;0
Olivier Bausset;26;2008;08/24/2008;0;0;1
Sofia Bekatorou;30;2008;08/24/2008;0;0;1
Lobke Berkhout;27;2008;08/24/2008;0;1;0
Annemieke Bes;30;2008;08/24/2008;0;1;0
Julien Bontemps;29;2008;08/24/2008;0;1;0
Marcelien Bos-de Koning;30;2008;08/24/2008;0;1;0
Darren Bundock;37;2008;08/24/2008;0;1;0
Nicolas Charbonnier;27;2008;08/24/2008;0;0;1
Fernando Echavarri;36;2008;08/24/2008;1;0;0
Anders Ekström;27;2008;08/24/2008;0;0;1
Carlos Espínola;36;2008;08/24/2008;0;0;1
Xavier Fernández;31;2008;08/24/2008;0;1;0
Guillaume Florent;34;2008;08/24/2008;0;0;1
Joe Glanfield;29;2008;08/24/2008;0;1;0
Paul Goodison;30;2008;08/24/2008;1;0;0
Martin Kirketerp;36;2008;08/24/2008;1;0;0
Virginia Kravarioti;24;2008;08/24/2008;0;0;1
Santiago Lange;46;2008;08/24/2008;0;0;1
Fredrik Lööf;38;2008;08/24/2008;0;0;1
Iker Martínez;31;2008;08/24/2008;0;1;0
Mandy Mulder;21;2008;08/24/2008;0;1;0
Fernanda Oliveira;27;2008;08/24/2008;0;0;1
Malcolm Page;36;2008;08/24/2008;1;0;0
Sofia Papadopoulou;24;2008;08/24/2008;0;0;1
Tessa Parkinson;21;2008;08/24/2008;1;0;0
Antón Paz;32;2008;08/24/2008;1;0;0
Hannes Peckolt;25;2008;08/24/2008;0;0;1
Jan Peter Peckolt;27;2008;08/24/2008;0;0;1
Iain Percy;32;2008;08/24/2008;1;0;0
Bruno Prada;37;2008;08/24/2008;0;1;0
Zach Railey;24;2008;08/24/2008;0;1;0
Elise Rechichi;22;2008;08/24/2008;1;0;0
Nick Rogers;31;2008;08/24/2008;0;1;0
Diego Romero;33;2008;08/24/2008;0;0;1
Robert Scheidt;35;2008;08/24/2008;0;1;0
Alessandra Sensini;38;2008;08/24/2008;0;1;0
Bryony Shaw;25;2008;08/24/2008;0;0;1
Andrew Simpson;31;2008;08/24/2008;1;0;0
Isabel Swan;24;2008;08/24/2008;0;0;1
Anna Tunnicliffe;25;2008;08/24/2008;1;0;0
Gintare Volungeviciute-Scheidt;25;2008;08/24/2008;0;1;0
Jonas Warrer;29;2008;08/24/2008;1;0;0
Sarah Webb;31;2008;08/24/2008;1;0;0
Nathan Wilmot;28;2008;08/24/2008;1;0;0
Pippa Wilson;22;2008;08/24/2008;1;0;0
Merel Witteveen;23;2008;08/24/2008;0;1;0
Xu Lijia;20;2008;08/24/2008;0;0;1
Yin Jian;29;2008;08/24/2008;1;0;0
Vasilij Žbogar;32;2008;08/24/2008;0;1;0
Shahar Zubari;21;2008;08/24/2008;0;0;1
Ben Ainslie;27;2004;08/29/2004;1;0;0
Sarah Ayton;24;2004;08/29/2004;1;0;0
Sandra Azón;30;2004;08/29/2004;0;1;0
Sofia Bekatorou;26;2004;08/29/2004;1;0;0
Kevin Burnham;47;2004;08/29/2004;1;0;0
Nick Dempsey;24;2004;08/29/2004;0;0;1
Chris Draper;26;2004;08/29/2004;0;0;1
Carlos Espínola;32;2004;08/29/2004;0;0;1
Xavier Fernández;27;2004;08/29/2004;1;0;0
